"_time",102,108,109,110,112,114,140,141A,142B,143,149B,150,150A,151,155D,158,164,164A,166,168,168A,200E,200SW,200WE,202,203,205,206,214,242,246,250,250B,250C,253,255,257,258,260,261A,268,270,274,278,300,300SE,302,302A,303,304,304B,304D,304J,305,306,308,319,321,323,325,325M,341,342,345,"345?",345A,345B,345C,345D,345N,345S,346,348,350,351,352,354,360,366a,402,403,404,404L,409,409A,411,412US,441,442,445,452,C200WW,C300WW,C400NE,C400WW,MallStage,ODNorth,ODSE,ODSW,P100W
"2019-08-19T23:00:00.000-0700",0,0,0,0,0,0,0,0,0,4,5,1,2,0,3,2,5,3,0,1,1,0,5,0,2,0,1,0,0,0,0,0,2,2,0,0,0,0,0,2,3,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,12,10,7,4,0
"2019-08-20T00:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,6,8,2,2,1
"2019-08-20T01:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,5,2,0,1
"2019-08-20T02:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1
"2019-08-20T03:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1
"2019-08-20T04:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,3,3,2,2,3,2,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,1,0
"2019-08-20T05:00:00.000-0700",0,0,0,0,0,0,0,0,0,1,3,1,1,7,0,4,10,5,2,1,4,1,14,1,3,3,1,0,0,1,1,3,3,5,0,0,1,0,0,5,6,4,2,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,0,0,0,0,14,12,9,7,2
"2019-08-20T06:00:00.000-0700",13,2,0,7,7,5,5,19,7,22,12,3,3,7,2,14,22,11,7,7,6,13,31,5,28,6,5,1,4,4,7,3,6,11,0,0,6,3,0,12,13,13,7,5,4,21,5,0,1,24,0,0,1,3,8,3,2,2,1,2,17,0,3,0,0,0,0,1,0,0,0,0,4,2,7,1,1,1,1,0,13,0,0,3,0,0,6,0,1,0,0,18,23,0,0,29,45,13,10,3
"2019-08-20T07:00:00.000-0700",58,10,3,30,16,16,6,33,32,94,20,5,4,10,4,27,30,20,9,8,11,47,48,44,98,54,11,7,22,46,39,20,35,48,3,7,32,29,1,83,45,49,21,16,10,113,2,0,4,15,17,11,2,2,9,16,0,1,3,0,8,2,14,3,3,18,8,5,1,14,6,0,3,7,27,7,9,3,2,7,33,19,1,15,8,20,6,10,12,2,0,18,7,0,4,114,160,64,25,56
"2019-08-20T08:00:00.000-0700",99,25,3,44,21,21,11,41,34,94,20,8,11,10,4,21,33,21,13,7,11,366,453,177,413,402,151,14,50,182,216,126,223,179,19,21,151,267,46,339,81,142,118,95,11,485,15,1,32,19,47,18,8,17,15,82,10,8,4,9,13,7,88,35,12,44,28,11,6,66,86,4,12,19,106,8,26,5,7,12,279,47,12,19,17,36,12,71,24,1,1,25,16,2,14,444,487,585,268,290
"2019-08-20T09:00:00.000-0700",49,14,2,34,22,19,8,40,21,22,36,11,20,12,3,27,34,30,17,10,16,294,264,138,377,231,125,13,50,87,144,94,175,198,20,14,200,239,44,348,102,164,127,133,14,401,21,2,25,25,39,12,11,55,14,56,15,11,3,15,14,28,64,27,19,19,7,20,5,48,111,7,24,31,90,31,16,9,5,17,123,47,10,29,38,49,28,78,26,1,10,35,22,2,23,318,640,357,150,204
"2019-08-20T10:00:00.000-0700",62,18,1,36,23,24,6,39,13,18,37,13,13,12,2,48,50,39,18,11,20,218,135,80,262,111,22,16,42,57,102,57,87,127,14,14,125,146,23,224,75,91,82,93,17,201,14,2,9,25,32,11,13,17,20,107,6,13,9,14,12,6,22,0,0,2,2,20,1,4,0,6,14,7,35,17,22,6,5,22,87,35,10,28,31,51,26,16,17,2,7,36,25,1,22,201,348,124,46,121
"2019-08-20T11:00:00.000-0700",79,21,3,42,32,32,4,47,23,9,29,12,12,12,2,16,34,33,16,13,19,398,173,109,330,155,32,16,54,100,169,97,144,189,27,19,148,287,50,306,74,112,109,128,15,297,17,2,9,34,39,15,16,31,19,58,12,10,6,18,13,4,34,1,2,4,0,32,8,4,0,8,31,41,34,50,79,9,1,22,110,38,15,26,42,55,31,27,35,1,21,44,23,1,18,256,423,174,96,166
"2019-08-20T12:00:00.000-0700",82,26,4,35,23,26,7,57,28,22,28,13,17,3,3,20,32,28,14,11,14,641,265,147,408,224,64,20,20,121,233,196,276,337,34,20,206,473,127,394,110,167,194,199,13,414,30,5,43,34,47,21,20,59,22,46,18,16,7,21,10,8,63,4,7,3,4,97,13,4,3,16,63,97,66,110,170,12,7,23,141,56,16,31,41,53,38,32,60,2,52,40,34,5,23,398,505,340,174,208
"2019-08-20T13:00:00.000-0700",66,23,2,40,28,25,6,43,15,20,32,13,9,5,4,29,33,27,14,10,18,510,230,164,394,216,60,16,10,109,205,148,185,239,45,22,273,414,117,420,112,191,216,209,14,342,20,4,15,28,43,29,12,45,28,47,14,19,6,21,17,13,32,5,9,7,7,56,8,4,9,3,37,47,84,67,101,10,4,23,120,45,7,35,37,59,35,18,28,3,11,39,30,0,20,274,519,195,90,185
"2019-08-20T14:00:00.000-0700",78,24,0,44,31,29,6,51,27,28,33,19,12,11,5,37,43,35,10,16,16,248,161,72,308,122,27,20,14,67,119,70,111,164,19,51,133,188,51,262,66,56,68,100,18,242,23,8,18,29,33,22,19,36,29,48,12,18,7,32,21,9,23,4,15,3,14,21,7,32,6,8,27,25,58,22,26,11,7,20,100,19,6,27,25,35,20,18,17,1,12,40,32,2,16,256,444,159,67,129
"2019-08-20T15:00:00.000-0700",119,24,5,46,41,35,9,41,13,17,35,8,9,2,3,19,29,18,12,16,11,175,121,82,314,126,24,15,32,61,93,57,90,108,16,23,90,128,37,232,53,48,54,80,10,222,13,3,11,28,44,15,17,11,22,43,6,9,6,7,16,4,35,16,3,8,24,19,0,62,0,5,21,19,45,21,9,5,2,16,87,39,3,35,29,39,24,11,16,1,10,39,20,10,23,222,334,137,81,138
"2019-08-20T16:00:00.000-0700",135,21,3,65,28,37,4,39,13,12,29,7,5,0,2,10,13,10,3,7,8,153,134,60,288,131,23,26,44,55,81,43,99,94,8,9,72,101,25,225,44,31,48,78,11,231,9,4,9,20,30,22,7,10,19,38,9,6,5,11,19,5,27,9,1,13,23,18,2,60,3,0,11,11,70,17,7,8,1,19,77,36,6,43,23,34,15,14,24,2,8,42,19,8,16,238,420,180,120,134
"2019-08-20T17:00:00.000-0700",64,16,0,38,17,20,1,19,7,4,18,9,10,0,1,8,13,8,0,5,6,191,162,60,296,152,29,10,11,47,78,52,93,83,8,1,55,131,58,220,33,27,40,55,4,238,8,2,12,19,32,10,9,8,14,34,7,6,2,10,13,1,19,3,0,4,2,5,1,13,1,0,4,3,49,4,4,1,0,16,88,32,4,26,11,22,12,8,16,0,5,31,15,1,8,236,429,201,117,133
