"_time",102,108,109,110,112,114,140,141A,142B,143,149B,150,150A,151,155B,155D,158,164,164A,166,168,168A,200E,200SW,200WE,202,203,205,206,214,242,246,250,250B,250C,253,255,257,258,260,261A,268,270,274,278,300,300SE,302,302A,303,304,304B,304D,304J,305,306,308,319,321,323,325,325M,341,342,345,"345?",345A,345B,345C,345D,345N,345S,346,348,350,351,352,354,360,364,366a,402,403,404,404L,409,411,412US,441,442,445,452,C200WW,C300WW,C400NE,MallStage,ODNorth,ODSE,ODSW,P100W
"2020-08-03T23:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,2
"2020-08-04T00:00:00.000-0700",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"2020-08-04T01:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"2020-08-04T02:00:00.000-0700",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
"2020-08-04T03:00:00.000-0700",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"2020-08-04T04:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-08-04T05:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,4,0
"2020-08-04T06:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,1,2,5,3,1,2,3,2,13,0,1,1,1,0,0,0,0,2,1,1,0,0,1,0,0,2,5,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,1,0,0,21,9,14,10,0
"2020-08-04T07:00:00.000-0700",3,3,0,2,4,2,1,1,1,1,9,0,1,3,1,2,7,7,7,2,6,6,2,30,1,12,5,4,1,1,2,4,8,7,2,0,0,3,2,0,9,10,6,1,2,2,7,0,0,2,5,3,2,2,1,0,2,2,0,0,2,4,1,2,0,1,0,0,1,1,0,0,0,0,0,2,2,1,1,0,1,0,12,0,0,0,0,1,0,2,2,0,11,5,0,32,35,43,22,6
"2020-08-04T08:00:00.000-0700",8,8,0,7,9,4,0,2,2,4,8,0,2,5,1,2,8,5,4,2,4,4,7,23,3,16,6,4,2,3,2,3,3,3,8,1,1,1,1,0,12,14,4,3,2,0,4,3,1,4,15,2,6,3,2,8,8,2,3,1,5,7,0,0,0,1,1,0,3,0,1,0,1,0,0,4,2,0,2,1,0,0,15,1,1,2,1,0,0,4,0,0,12,10,0,36,51,28,16,11
"2020-08-04T09:00:00.000-0700",12,14,1,14,13,4,0,3,2,5,7,3,3,4,0,2,7,7,5,4,4,4,3,19,4,19,7,4,7,10,6,4,5,3,3,0,1,2,2,1,15,7,3,0,1,3,10,5,3,3,14,5,3,6,4,8,10,5,4,2,5,6,0,1,0,2,0,0,1,0,1,1,1,3,0,3,1,0,1,0,0,0,21,1,0,0,1,0,1,2,0,1,12,13,1,29,43,22,11,13
"2020-08-04T10:00:00.000-0700",18,17,1,17,10,5,8,15,10,21,6,2,2,3,0,3,5,4,5,2,3,3,16,16,15,40,9,3,8,2,20,25,17,14,15,1,2,0,5,1,24,7,2,2,2,1,16,2,5,3,12,7,8,8,3,3,15,1,4,1,5,4,2,3,0,1,0,0,1,0,0,1,1,2,0,0,4,0,1,1,0,1,8,0,1,0,0,2,0,3,0,0,15,8,0,40,39,31,11,22
"2020-08-04T11:00:00.000-0700",14,15,0,13,9,4,15,28,9,56,11,2,3,7,3,3,11,7,8,5,3,3,9,14,29,38,19,4,7,2,23,33,9,17,7,1,3,5,2,0,32,11,5,1,3,0,21,2,4,1,10,6,4,5,1,6,11,1,1,0,5,3,1,2,0,2,1,0,2,0,1,1,2,2,1,1,0,0,1,1,0,1,10,2,3,1,3,0,0,3,1,0,14,8,0,26,66,20,8,26
"2020-08-04T12:00:00.000-0700",23,17,1,15,11,8,6,9,7,38,7,2,4,3,2,3,10,6,4,5,1,1,6,26,14,55,24,4,7,5,23,21,10,8,8,1,1,2,3,1,37,11,3,2,2,3,21,5,4,0,17,6,6,9,2,1,20,7,4,1,5,4,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,12,0,2,0,0,2,1,0,2,0,24,12,1,17,58,29,9,24
